customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-000001,Female,0,Yes,No,6,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),24.33,184.43,No
CUST-000002,Female,0,Yes,No,56,Yes,No phone service,No,No,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),64.74,3898.35,No
CUST-000003,Female,0,No,Yes,47,No,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,One year,Yes,Electronic check,31.16,1165.59,Yes
CUST-000004,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No internet service,Month-to-month,No,Electronic check,33.54,1284.22,Yes
CUST-000005,Female,0,Yes,Yes,31,Yes,No,No,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,82.49,1707.14,Yes
CUST-000006,Male,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,No,Mailed check,58.08,4391.49,Yes
CUST-000007,Male,0,No,No,6,No,No,No,No,Yes,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,112.03,720.57,Yes
CUST-000008,Female,0,No,Yes,50,Yes,No,DSL,No internet service,No internet service,Yes,No,No,No,One year,Yes,Electronic check,50.55,1740.44,No
CUST-000009,Male,0,No,No,14,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),92.07,855.37,Yes
CUST-000010,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,65.03,468.48,Yes
CUST-000011,Male,0,No,No,38,Yes,No,DSL,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.32,2705.09,No
CUST-000012,Male,0,Yes,No,71,Yes,No,No,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.17,7371.7,Yes
CUST-000013,Female,1,No,No,53,Yes,Yes,DSL,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),66.22,4245.49,Yes
CUST-000014,Male,0,Yes,Yes,55,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,Yes,Electronic check,114.91,7322.11,Yes
CUST-000015,Male,0,Yes,No,52,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),52.96,2266.16,No
CUST-000016,Female,0,No,Yes,57,Yes,Yes,No,No,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),36.08,2400.33,Yes
CUST-000017,Male,0,No,Yes,37,No,No,Fiber optic,Yes,No internet service,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),87.17,4381.61,No
CUST-000018,Female,0,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),104.29,631.92,No
CUST-000019,Male,0,Yes,No,61,Yes,No,DSL,No,Yes,No,Yes,No,No internet service,One year,No,Bank transfer (automatic),22.11,1161.15,Yes
CUST-000020,Male,0,Yes,No,32,Yes,No,Fiber optic,No,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,63.86,1609.76,No
CUST-000021,Female,1,No,Yes,36,Yes,No,No,Yes,No internet service,No,No internet service,No,No,Two year,Yes,Bank transfer (automatic),109.03,3589.88,Yes
CUST-000022,Female,0,Yes,No,27,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Two year,No,Mailed check,94.46,3044.86,Yes
CUST-000023,Male,0,Yes,No,13,Yes,Yes,DSL,No internet service,No,Yes,Yes,Yes,No internet service,Two year,No,Credit card (automatic),119.16,1517.16,Yes
CUST-000024,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,One year,No,Bank transfer (automatic),72.2,5111.12,No
CUST-000025,Female,0,Yes,No,57,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,85.32,4140.19,Yes
CUST-000026,Female,0,No,No,47,No,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),48.85,1637.08,Yes
CUST-000027,Female,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,114.65,2704.92,No
CUST-000028,Male,0,No,No,60,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,55.37,4278.14,Yes
CUST-000029,Female,0,No,No,39,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,93.33,3938.1,No
CUST-000030,Male,0,Yes,No,32,Yes,Yes,No,No,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),59.12,1707.18,No
CUST-000031,Male,0,No,No,32,Yes,Yes,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,75.31,2968.84,Yes
CUST-000032,Male,0,No,No,16,No,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),91.42,953.06,No
CUST-000033,Male,0,No,Yes,6,Yes,No,DSL,No internet service,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,69.91,336.87,No
CUST-000034,Female,0,Yes,No,40,No,Yes,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer (automatic),110.52,3466.27,Yes
CUST-000035,Male,0,Yes,Yes,64,Yes,No,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,60.77,5399.45,No
CUST-000036,Female,0,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,No,Mailed check,84.0,391.4,No
CUST-000037,Female,1,Yes,Yes,62,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),52.92,3590.21,No
CUST-000038,Female,0,Yes,No,60,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.63,2160.95,No
CUST-000039,Female,0,No,No,20,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No,Two year,Yes,Credit card (automatic),62.89,940.14,No
CUST-000040,Male,1,Yes,Yes,46,Yes,Yes,No,No internet service,Yes,No internet service,No,No,No internet service,One year,Yes,Credit card (automatic),30.83,1571.96,No
CUST-000041,Female,1,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),27.36,296.73,Yes
CUST-000042,Male,0,No,No,55,No,Yes,DSL,No,No,Yes,No internet service,No,No internet service,Month-to-month,No,Mailed check,86.08,6341.37,Yes
CUST-000043,Male,0,Yes,Yes,51,Yes,No phone service,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,84.86,5244.41,No
CUST-000044,Male,0,No,Yes,25,Yes,Yes,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),85.62,2050.4,No
CUST-000045,Female,1,No,No,4,Yes,Yes,No,No internet service,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),20.02,96.06,Yes
CUST-000046,Male,0,No,No,70,Yes,No,No,Yes,Yes,No,No,No internet service,No,Two year,Yes,Credit card (automatic),51.31,4957.71,No
CUST-000047,Female,0,Yes,No,32,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,38.18,1183.62,No
CUST-000048,Male,0,No,No,65,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,No,Mailed check,97.37,7050.69,No
CUST-000049,Female,1,No,No,49,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),105.78,6919.24,No
CUST-000050,Female,0,No,No,56,Yes,No,DSL,No internet service,Yes,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),43.16,1931.01,No
CUST-000051,Female,0,Yes,No,55,No,Yes,No,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,86.12,6201.38,Yes
CUST-000052,Female,0,No,No,14,Yes,No,DSL,No,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),31.2,296.17,Yes
CUST-000053,Female,0,Yes,No,26,No,No,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Electronic check,46.07,1340.07,No
CUST-000054,Female,0,Yes,No,34,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Month-to-month,No,Credit card (automatic),32.14,1340.02,Yes
CUST-000055,Male,0,No,No,36,Yes,No,DSL,No internet service,No internet service,No,No,No,Yes,Two year,Yes,Electronic check,46.92,1843.99,No
CUST-000056,Male,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),86.82,259.53,Yes
CUST-000057,Female,0,Yes,No,39,Yes,No,No,No internet service,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),110.85,4729.0,Yes
CUST-000058,Male,0,No,No,11,Yes,No phone service,DSL,No internet service,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,38.66,306.75,Yes
CUST-000059,Female,0,Yes,No,54,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,One year,No,Bank transfer (automatic),73.29,3057.12,No
CUST-000060,Female,0,No,No,49,Yes,No phone service,Fiber optic,No,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.54,3579.81,No
CUST-000061,Female,0,Yes,No,67,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,115.2,8322.16,No
CUST-000062,Male,1,No,Yes,54,Yes,Yes,DSL,Yes,No,No,No,No internet service,Yes,Month-to-month,Yes,Mailed check,80.23,4131.05,Yes
CUST-000063,Male,0,No,No,26,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),44.02,910.56,No
CUST-000064,Female,1,Yes,No,70,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),81.8,7479.57,Yes
CUST-000065,Male,0,No,No,29,Yes,No,Fiber optic,No,No,No,No internet service,No,No,Two year,Yes,Mailed check,50.69,1321.74,No
CUST-000066,Female,0,Yes,No,23,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,117.57,2587.36,No
